,Total US,US Large,USL Value,US Mid,USM Value,US Small,USS Value,US Dividend Appreciation,US REIT,US Consumer Staples,US Health Care,US Energy,Total International,International Developed,International Developed Value,International Developed Small,Emerging Markets,Emerging Small Cap,Frontier Markets,Global REIT,Sweden,Australia,South Africa,Gold,Commodities,Emerging Market Bonds,International Bonds,Corporate Bonds,US Bonds,TIPS,Intermediate Municipal Bonds,Long Term Treasuries,Intermediate Treasuries,Short Term Treasuries,Treasury Bills,US Large Cap Growth,US Mid Cap Growth,US Small Cap Growth,US Extended Market,US Microcap,Wellington,Wellesley,Windsor,Pacific,Europe,Precious Metals,US Corporate Bond,US Short Term Total Bond,US Junk Bonds,Long Term Municipal,Short Term Municipal,Vanguard Health Care,spdr_Energy,spdr_Materials,spdr_Industrials,spdr_Consumer Discretionary,spdr_Consumer Staples,spdr_Health Care,spdr_Financials,spdr_Information Technology,spdr_Telecom Services,spdr_Utilities
1982-12-31,20.60702875,20.9,19.73657953,23.05389222,29.26042171,24.6506986,28.24351297,19.73657953,21.28465988,36.9,21.3,-12.9,-1.147475554,-0.989109801,-1.06,-0.32878350100000003,-1.425296521,-1.425296521,-1.425296521,15.67662602,39.80656873,-15.78,37.77,15.56,10.73,20.16593876,22.5649649,39.11,25.19968051,-7.784431137999999,31.06497,41.48023629,35.16,23.89460713,10.40063942,20.24,20.24,20.76,,27.59,24.55,23.3,21.7,-6.5,5.43,,39.10528411,25.1167242,27.49855,,,21.3,-12.9,8.9,21.7,47.9,36.9,21.3,23.9,53.5,13.5,28.4
1983-12-31,21.80511182,21.3,28.01835961,23.55289421,32.47860161,28.84231537,38.32335329,28.01835961,30.26132057,17.7,6.4,24.6,25.52384754,24.48796084,25.32,35.61821261,32.16385926,32.16385926,32.16385926,29.07695231,68.90130211,63.22,13.77,-17.17,15.39,12.01552901,9.776825649,9.2,8.02715655,16.86626747,6.49717,1.781630049,5.17,7.720868052999999,8.702168048999999,15.75,22.29,19.86,,35.88,23.57,18.6,30.1,26.09,22.08,,9.195120954,9.10626,15.09312,,,6.4,24.6,27.9,31.7,20.8,17.7,6.4,17.2,26.2,10.5,18.3
1984-12-31,4.333067093,6.21,9.858311714,1.19760479,2.625601978,-7.48502994,2.095808383,9.858311714,20.58647516,14.71,6.41,8.01,8.022350827999999,7.80297732,2.7,11.20852844,9.937207216000001,9.937207216000001,9.937207216000001,17.44544408,-9.862208164,0.02,8.77,-19.58,0.3,13.15083613,13.50790601,16.54,14.11741214,15.56886228,9.53248,14.56358134,13.15,12.36657067,9.701268857999999,-1.22,-5.95,-15.97,,-20.12,10.7,16.64,19.47,13.19,1.04,,16.54156321,14.22665,7.8586,,,6.41,8.01,-7.09,-0.79,3.71,14.71,6.41,10.61,-0.99,20.51,26.71
1985-12-31,31.98881789,31.23,31.21133506,31.73652695,31.871224600000005,30.83832335,30.73852295,31.21133506,18.79114303,42.93,42.43,14.00816977,56.98463381,56.55909681,61.13,66.88253462,60.37077644,60.37077644,60.37077644,28.33951573,28.23450174,41.62,41.37,5.74,9.19,15.89207764,10.95,23.97,17.8115016,8.682634731,17.33125,31.30007551,21.58,14.24224583,7.37,32.61,32.85,30.74,31.31,24.88,28.53,27.41,28.03,39.03,79.33,-5.36,23.97477616,14.89754,21.9901,20.53,6.74,45.24,18.03,30.33,29.53,31.53,42.93,42.43,40.43,23.23,38.23,27.63
1986-12-31,15.91453674,18.06,19.73657953,17.96407186,17.66467066,5.489021956,7.185628743,19.73657953,18.8908837,33.16,29.66,12.7,68.4494113,69.74722750000001,67.57,58.95187805,62.16485598,62.16485598,62.16485598,31.2805156,53.13402749,50.62,55.27,18.68,1.29,16.3054856,11.21,16.45,12.91932907,21.95608782,16.21497,23.84616226,19.14,12.15953734,6.0,15.15,17.37,3.39,12.33,-0.34,18.4,18.34,20.27,93.32,44.13,49.88,16.45169463,11.41779,16.85756,19.38,7.39,21.42,16.36,25.56,16.66,19.86,33.16,29.66,10.16,-6.94,23.76,25.56
1987-12-31,1.537539936,4.71,0.279385352,0.0,-2.395209581,-8.982035928,-7.285429142000001,0.279385352,-3.849990026,11.51,6.11,6.13,26.54160846,24.78769108,30.29,40.15143967,37.24708462,37.24708462,37.24708462,3.747909596,-6.442240977000001,-10.08,-4.93,24.2,22.85,11.90570846,9.09,2.49,0.978434505,8.183632735,1.63863,-2.9259,0.2,4.029886741,6.12,5.07,2.59,-10.68,-4.06,-15.55,2.28,-1.92,1.23,39.49,3.83,38.73,2.485286489,4.45971,2.65135,-1.14,4.11,-0.5,8.21,21.81,2.11,0.91,11.51,6.11,-17.19,13.61,4.61,-7.89
1988-12-31,17.8115016,16.22,22.92955498,19.56087824,24.35129741,24.6506986,29.24151697,22.92955498,13.20566527,19.42,12.62,21.37,30.08381561,28.48436407,29.74,25.47573976,39.93820393,39.93820393,39.93820393,17.42520286,54.93656005,20.62,14.17,-15.41,26.98,12.03082039,8.93,9.15,7.35,18.66267465,10.00182,9.15186,5.36,5.40120771,7.18,11.06,12.67,20.16,19.49,20.15,16.11,13.61,28.7,34.84,16.1,-14.19,9.147057985,6.95061,13.55381,12.24,5.61,28.4,21.02,9.82,12.02,24.42,19.42,12.62,16.92,-2.78,20.92,14.72
1989-12-31,28.69408946,31.36,24.92516464,26.04790419,22.45508982,15.96806387,12.1756487,24.92516464,8.517853581,47.96,42.56,43.45,18.66892836,10.70036967,14.4,30.28793464,64.45729094,64.45729094,64.45729094,11.05562228,26.59770905,17.42,55.07,-3.14,37.25,9.991729094,3.94,14.01,13.64,5.888223553,10.00321,17.93267,13.34,10.96639345,8.87,35.6,31.24,19.96,24.1,4.71,21.6,20.93,15.02,2.41,28.77,30.4,14.00622526,11.45483,1.89063,11.54,7.08,32.95,40.06,22.16,26.56,21.06,47.96,42.56,33.06,-6.24,61.26,37.56
1990-12-31,-6.150159744,-3.32,-8.30173618,-11.67664671,-16.26746507,-19.66067864,-21.95608782,-8.30173618,-15.61938959,17.58,13.98,-1.37,-21.48273798,-23.26905785,-21.97,-18.24250274,-10.89404964,-10.89404964,-10.89404964,-17.08522669,-29.820367600000004,-15.78,4.47,-3.35,28.12,4.040595036,5.7,6.98,8.65,5.988023952000001,7.197989999999999,5.78015,9.41,9.606166712,7.94,-0.52,-5.29,-17.56,-14.05,-31.79,-2.81,3.76,-15.5,-34.46,-3.65,-19.86,6.978882962,9.22988,-5.8456,6.82,6.57,16.79,3.38,-11.82,-6.72,-14.22,17.58,13.98,-21.62,2.08,-15.42,-0.72
1991-12-31,34.48482428,30.22,24.32648174,41.21756487,37.6247505,45.80838323,41.41716567,24.32648174,35.34809495,48.02,51.82,0.28,19.34743564,12.39884104,9.85,5.439872472,59.37406558,59.37406558,59.37406558,31.34793012,8.104516607,27.02,30.47,-8.79,-6.83,15.56740656,10.7,18.42,15.25,15.66866267,12.16122,17.43011,14.61,11.57075743,5.73,40.89,46.71,50.9,41.85,46.97,23.65,21.57,28.55,10.36,12.11,4.37,18.4243383,13.07778,29.00833,13.5,7.2,46.32,55.42,24.72,29.22,28.62,48.02,51.82,49.62,12.22,13.82,23.72
