Date,price,rolling_12,rolling_18,rolling_24,rolling_30,rolling_36,rolling_42,rolling_48,rolling_54,rolling_60,diff%_rolling_12,diff%_rolling_18,diff%_rolling_24,diff%_rolling_30,diff%_rolling_36,diff%_rolling_42,diff%_rolling_48,diff%_rolling_54,diff%_rolling_60
1986-10-01,14.852,17.26983333333333,20.82861111111111,22.433208333333333,23.83206666666667,24.868222222222222,25.746333333333332,26.391375,27.355666666666664,27.925766666666668,-0.1400032812515078,-0.2869423736046836,-0.3379457909312273,-0.376806040041289,-0.40277194456110876,-0.4231411592589236,-0.43724038630044854,-0.4570777535428369,-0.46816142320175036
1986-11-01,15.207,15.969333333333333,20.13883333333333,21.896083333333333,23.321633333333335,24.46175,25.394119047619046,25.996729166666665,26.971907407407407,27.579216666666667,-0.047737329882274304,-0.24489171004609656,-0.30549223034560974,-0.3479444692981767,-0.37833556470816676,-0.40116056117229987,-0.4150417961233904,-0.43619115362142913,-0.44860652919197
1986-12-01,16.076,15.04,19.524,21.506375,22.858600000000003,24.096083333333333,25.038785714285712,25.6708125,26.620166666666666,27.263816666666667,0.06888297872340435,-0.17660315509116986,-0.2525007119981865,-0.2967198341105755,-0.3328376326719764,-0.3579560852734186,-0.3737634911244044,-0.3960969440461805,-0.4103540162205218
1987-01-01,18.656,14.682583333333332,19.042166666666667,21.215333333333334,22.522066666666667,23.789583333333333,24.729166666666668,25.409687499999997,26.333055555555553,27.010583333333336,0.27062108734271334,-0.02027955502262529,-0.12063601797442108,-0.171656834334327,-0.21579122515106405,-0.2455871946082562,-0.2657918362829137,-0.29153683055728435,-0.30930777133654414
1987-02-01,17.726,14.872916666666665,18.485,20.817625,22.137933333333336,23.444611111111108,24.39145238095238,25.175854166666667,26.03261111111111,26.78001666666667,0.19183078862585803,-0.04106031917771168,-0.14850997652229783,-0.19929291803811874,-0.24392006691895549,-0.27327000774080695,-0.2959126676436831,-0.3190848230958178,-0.33808853741066885
1987-03-01,18.305,15.346833333333333,17.930333333333333,20.40375,21.77106666666667,23.09861111111111,24.086571428571425,24.956791666666668,25.711777777777776,26.610433333333333,0.1927542055364299,0.020895688869885274,-0.1028609936898854,-0.15920518363822334,-0.2075281101557333,-0.24003297628791373,-0.26653232336555016,-0.28806945368745834,-0.3121119160028711
1987-04-01,18.643,15.829833333333331,17.325055555555554,19.980333333333334,21.433666666666667,22.76597222222222,23.80640476190476,24.707479166666666,25.396277777777776,26.36365,0.1777129681297973,0.07607158546870152,-0.06693248360888207,-0.13020015240820515,-0.1811024006344751,-0.2168914127750734,-0.24545114966031703,-0.2659160463147486,-0.2928520899040914
1987-05-01,19.415,16.16075,16.69183333333333,19.638333333333332,21.144233333333332,22.4575,23.558190476190475,24.486958333333334,25.123407407407406,26.0884,0.20136751079003135,0.16314365308384346,-0.011372316048544483,-0.08178273981716054,-0.13547812534787934,-0.17587048888062387,-0.20712896490819097,-0.22721469722790608,-0.25579951242697907
1987-06-01,20.034000000000002,16.707833333333333,16.292166666666667,19.342125,20.964400000000005,22.181583333333332,23.339,24.258499999999998,24.907,25.837799999999998,0.1990782766566582,0.22967070064345865,0.03577037166288622,-0.04437999656560656,-0.09681830647797143,-0.1416084665152747,-0.17414514500072123,-0.19564780985265176,-0.22462438752525354
1987-07-01,21.355,17.522833333333335,16.203833333333332,19.093208333333333,20.821533333333335,21.97611111111111,23.14054761904762,24.0438125,24.72487037037037,25.624383333333334,0.21869560668461144,0.3178980282443456,0.1184605346141844,0.02562091168437798,-0.028263012867507542,-0.07716099240356293,-0.111829706707287,-0.13629476393165368,-0.16661409087568288
1987-08-01,20.274,17.954666666666668,16.472277777777776,18.7815,20.588300000000004,21.726777777777777,22.905523809523807,23.80139583333333,24.564203703703704,25.396449999999998,0.12917718698945488,0.23079517438389768,0.0794664962862391,-0.015265952021293785,-0.0668657723955589,-0.11488599131837596,-0.1482012171905183,-0.17465266757484352,-0.201699450119997
