,Total US,USL Value,US Mid,USM Value,US Small,USS Value,US Dividend Appreciation,US REIT,US Consumer Staples,US Health Care,US Energy,Total International,International Developed,International Developed Value,International Developed Small,Emerging Markets,Emerging Small Cap,Frontier Markets,Global REIT,Sweden,Australia,South Africa,Gold,Commodities,Emerging Market Bonds,International Bonds,Corporate Bonds,US Bonds,TIPS,Intermediate Municipal Bonds,Long Term Treasuries,Intermediate Treasuries,Short Term Treasuries,Treasury Bills,US Large Cap Growth,US Mid Cap Growth,US Small Cap Growth,US Extended Market,US Microcap,Wellington,Wellesley,Windsor,Pacific,Europe,Precious Metals,US Corporate Bond,US Short Term Total Bond,US Junk Bonds,Long Term Municipal,Short Term Municipal,Vanguard Health Care,spdr_Energy,spdr_Materials,spdr_Industrials,spdr_Consumer Discretionary,spdr_Consumer Staples,spdr_Health Care,spdr_Financials,spdr_Information Technology,spdr_Telecom Services,spdr_Utilities,Argentina,Austria,Belgium,Chile,Germany,Denmark,East Asia & Pacific,Spain,France,"Hong Kong SAR, China",Indonesia,India,Israel,Japan,Mexico,New Zealand,Finland
1983-12-31,0.5051118199999998,6.71835961,2.252894210000001,11.178601609999998,7.542315370000001,17.02335329,6.71835961,8.961320569999998,-3.6000000000000014,-14.9,3.3000000000000007,4.223847539999998,3.187960839999999,4.02,14.31821261,10.863859260000002,10.863859260000002,10.863859260000002,7.776952309999999,47.601302110000006,41.92,-7.530000000000001,-38.47,-5.91,-9.28447099,-11.523174351000002,-12.100000000000001,-13.27284345,-4.43373253,-14.80283,-19.518369951,-16.130000000000003,-13.579131947,-12.597831951000002,-5.550000000000001,0.9899999999999984,-1.4400000000000013,,14.580000000000002,2.2699999999999996,-2.6999999999999993,8.8,4.789999999999999,0.7799999999999976,,-12.104879046,-12.19374,-6.20688,,,-14.9,3.3000000000000007,6.599999999999998,10.399999999999999,-0.5,-3.6000000000000014,-14.9,-4.100000000000001,4.899999999999999,-10.8,-3.0,21.19,-20.080000000000002,4.550000000000001,,-1.120000000000001,69.08,8.349999999999998,-24.05,7.349999999999998,-31.12,,4.699999999999999,-89.28,9.469999999999999,-21.77,54.86,41.34
1984-12-31,-1.8769329069999996,3.648311713999999,-5.01239521,-3.584398022,-13.695029940000001,-4.1141916169999995,3.648311713999999,14.376475159999998,8.5,0.20000000000000018,1.7999999999999998,1.8123508279999987,1.5929773200000001,-3.51,4.99852844,3.727207216000001,3.727207216000001,3.727207216000001,11.23544408,-16.072208164,-6.19,2.5599999999999996,-25.79,-5.91,6.94083613,7.297906009999999,10.329999999999998,7.907412140000001,9.35886228,3.3224799999999997,8.353581340000002,6.94,6.15657067,3.491268857999999,-7.43,-12.16,-22.18,,-26.330000000000002,4.489999999999999,10.43,13.259999999999998,6.9799999999999995,-5.17,,10.331563209999999,8.016649999999998,1.6486,,,0.20000000000000018,1.7999999999999998,-13.3,-7.0,-2.5,8.5,0.20000000000000018,4.3999999999999995,-7.2,14.3,20.5,-21.76,-8.99,8.29,,-11.64,-34.33,7.95,15.629999999999999,1.4400000000000004,14.55,,-9.21,13.879999999999999,11.849999999999998,35.63,14.579999999999998,-21.32
1985-12-31,0.7588178899999996,-0.01866494000000074,0.5065269499999978,0.6412246000000046,-0.39167665000000085,-0.4914770500000003,-0.01866494000000074,-12.43885697,11.7,11.2,-17.221830230000002,25.754633809999998,25.32909681,29.900000000000002,35.65253462,29.14077644,29.14077644,29.14077644,-2.8904842700000017,-2.9954982600000015,10.389999999999997,10.139999999999997,-25.490000000000002,-22.04,-15.33792236,-20.28,-7.260000000000002,-13.4184984,-22.547365269,-13.89875,0.07007550999999879,-9.650000000000002,-16.987754170000002,-23.86,1.379999999999999,1.620000000000001,-0.490000000000002,0.0799999999999983,-6.350000000000001,-2.6999999999999993,-3.8200000000000003,-3.1999999999999993,7.800000000000001,48.099999999999994,-36.59,-7.255223839999999,-16.33246,-9.239899999999999,-10.7,-24.490000000000002,14.010000000000002,-13.2,-0.9000000000000021,-1.6999999999999993,0.3000000000000007,11.7,11.2,9.2,-8.0,6.9999999999999964,-3.6000000000000014,42.67,178.5,37.879999999999995,,96.27,67.72,13.48,16.209999999999997,61.41,15.239999999999998,,-15.23,-6.559999999999999,15.919999999999998,-12.61,-24.4,14.040000000000003
1986-12-31,-2.145463259999998,1.6765795300000015,-0.09592813999999805,-0.39532934,-12.570978043999999,-10.874371257,1.6765795300000015,0.8308837000000011,15.099999999999998,11.600000000000001,-5.359999999999999,50.38941129999999,51.687227500000006,49.50999999999999,40.89187805,44.104855979999996,44.104855979999996,44.104855979999996,13.220515600000002,35.074027490000006,32.56,37.21000000000001,0.620000000000001,-16.77,-1.754514399999998,-6.849999999999998,-1.6099999999999994,-5.140670929999999,3.8960878200000018,-1.8450299999999977,5.786162260000001,1.0800000000000018,-5.900462659999999,-12.059999999999999,-2.9099999999999984,-0.6899999999999977,-14.669999999999998,-5.729999999999999,-18.4,0.33999999999999986,0.28000000000000114,2.210000000000001,75.25999999999999,26.070000000000004,31.820000000000004,-1.60830537,-6.642209999999999,-1.2024399999999993,1.3200000000000003,-10.669999999999998,3.360000000000003,-1.6999999999999993,7.5,-1.3999999999999986,1.8000000000000007,15.099999999999998,11.600000000000001,-7.899999999999999,-25.0,5.700000000000003,7.5,-39.91,26.59,60.83,,26.470000000000002,-3.049999999999999,67.05,132.72,76.06,37.59,,25.94,11.48,70.03999999999999,70.59,23.12,51.81
1987-12-31,-3.172460064,-4.430614648,-4.71,-7.105209581,-13.692035928,-11.995429142,-4.430614648,-8.559990026000001,6.8,1.4000000000000004,1.42,21.831608459999998,20.077691079999997,25.58,35.44143967,32.53708462,32.53708462,32.53708462,-0.9620904039999996,-11.152240977000002,-14.79,-9.64,19.49,18.14,7.19570846,4.38,-2.2199999999999998,-3.731565495,3.473632735,-3.07137,-7.6358999999999995,-4.51,-0.6801132589999996,1.4100000000000001,0.3600000000000003,-2.12,-15.39,-8.77,-20.26,-2.43,-6.63,-3.48,34.78,-0.8799999999999999,34.019999999999996,-2.224713511,-0.2502899999999997,-2.05865,-5.85,-0.5999999999999996,-5.21,3.500000000000001,17.099999999999998,-2.6,-3.8,6.8,1.4000000000000004,-21.900000000000002,8.899999999999999,-0.09999999999999964,-12.6,-15.57,14.55,6.840000000000001,,-19.93,12.45,44.449999999999996,40.589999999999996,-3.38,-4.28,,57.29,17.8,48.14,132.53,59.24,6.37
1992-12-31,2.2046006390000006,6.13018958,8.74766467,14.03708583,10.54407186,21.42231537,6.13018958,6.88281269,-0.7999999999999998,-23.2,-1.3200000000000003,-15.941253243,-19.299308619999998,-18.98,-28.292770750000003,3.61358916,3.61358916,3.61358916,1.1767962070000006,-5.342081540000001,-10.1,-10.05,-13.39,-3.77,-0.7006410839999999,-1.1799999999999997,1.1999999999999993,-0.28000000000000025,-0.13457085799999913,1.4349500000000006,-0.01529999999999987,0.13999999999999968,-0.8830738520000008,-3.89,-2.6500000000000004,1.0600000000000005,0.16000000000000014,5.050000000000001,25.559999999999995,0.5099999999999998,1.25,9.08,-25.590000000000003,-10.74,-26.83,1.1956941580000002,-0.22513999999999967,6.8203499999999995,1.8800000000000008,-2.71,-8.99,5.300000000000001,2.9000000000000004,2.0,12.1,-0.7999999999999998,-23.2,15.799999999999999,-4.199999999999999,8.799999999999999,0.9000000000000004,-7.51,-25.92,-17.28,7.220000000000001,-18.73,-34.89,-25.740000000000002,-28.79,-16.03,33.69,68.53,42.58,100.33,-32.4,4.1899999999999995,27.6,-26.97
1993-12-31,0.5532907299999987,8.20020156,4.181856289999999,5.47926148,8.809999999999999,13.662894210000001,8.20020156,9.49958707,-16.7,-15.9,16.63,28.989465179999996,22.89049755,29.46,24.004590020000002,64.33505731,64.33505731,64.33505731,14.3720566,46.27348651,33.83,44.18,7.5,-22.87,9.79950573,3.74,2.1899999999999995,-0.21000000000000085,5.579061879999999,1.6627399999999994,6.897029999999997,1.5399999999999991,-3.4800000000000004,-7.030000000000001,-8.360000000000001,1.0899999999999999,3.2799999999999994,4.6,14.759999999999998,3.629999999999999,4.76,9.48,25.57,19.24,83.47,2.189560159999999,-2.8234700000000004,8.350249999999999,3.5599999999999987,-6.07,1.92,2.6999999999999993,4.5,9.599999999999998,10.599999999999998,-16.7,-15.9,1.0999999999999996,9.7,4.899999999999999,3.5,126.67,22.96,11.75,29.1,24.490000000000002,13.02,35.39,-7.790000000000001,29.4,113.99,165.11,257.11,61.3,19.0,19.759999999999998,34.88,18.84
1994-12-31,-1.3499999999999999,-1.91,-3.475409182,-3.475409182,-1.69,-2.876606786,-1.91,1.7523758230000002,4.5,12.0,-2.8099999999999996,4.377772900000003,6.822797482,9.41,14.30271396,-8.784903817,-8.784903817,-8.784903817,2.408725092,4.885403969,-7.46,20.89,-3.59,3.33,-20.509999999999998,-6.05,-5.18,-3.84,1.8140119760000004,-3.30166,-8.21823,-5.51,-1.7599999999999998,2.63,1.7100000000000002,-3.58,-3.7699999999999996,-2.94,-4.88,-1.67,-5.62,-1.3299999999999998,11.86,0.7,-6.6,-5.179720428,-1.2610899999999998,-2.8926499999999997,-6.93,0.52,8.36,1.3,4.0,-4.1,-8.4,4.5,12.0,-4.6,18.5,-5.8,-12.799999999999999,-17.5,8.66,6.71,50.6,11.84,16.52,14.14,29.42,-1.94,-31.19,41.24,-48.18,-36.8,22.42,36.21,-36.339999999999996,17.47
1995-12-31,-1.6600000000000037,-0.5100000000000051,-3.318263470000005,-2.8192614800000015,-8.710000000000004,-11.901097800000002,-0.5100000000000051,-22.449002590000003,-0.7000000000000028,21.0,-12.130000000000003,-27.747345839000005,-25.950349690000003,-26.630000000000003,-35.168441765000004,-37.220756504,-37.220756504,-37.220756504,-23.7735884,-17.297377630000003,-16.430000000000003,-29.28,-36.720000000000006,-18.01,-11.070000000000004,-20.330000000000002,-15.290000000000003,-19.270000000000003,-36.851197605,-23.805270000000004,-7.356790000000004,-17.01,-25.340000000000003,-31.96,0.6099999999999994,-3.720000000000006,-6.710000000000004,-3.6500000000000057,-7.950000000000003,-4.530000000000001,-8.540000000000003,-7.300000000000004,-34.7,-15.170000000000002,-41.93000000000001,-15.289724340000003,-24.714370000000002,-18.297140000000002,-18.730000000000004,-31.53,7.719999999999999,-7.200000000000003,-20.1,2.1999999999999957,-15.400000000000002,-0.7000000000000028,21.0,16.199999999999996,1.0,3.5999999999999943,-6.100000000000001,-34.96,-31.21,-16.890000000000004,-30.28,-21.790000000000003,-17.840000000000003,-35.86,-14.490000000000002,-26.970000000000002,-24.760000000000005,4.219999999999999,28.549999999999997,-25.910000000000004,-38.760000000000005,-42.57,-67.82000000000001,7.229999999999997
1996-12-31,-1.9199999999999982,-1.0199999999999996,-4.11752495,-1.6624351299999987,-4.759999999999998,-1.7223153700000005,-1.0199999999999996,12.06913226,1.6000000000000014,-0.8000000000000007,11.120000000000001,-15.302171222999998,-16.575673892999998,-14.479999999999999,-18.864856033,-7.049999999999999,-7.049999999999999,-7.049999999999999,5.226306390000001,19.270000310000004,-11.659999999999998,-14.11,-27.669999999999998,10.040000000000003,16.029999999999998,-10.999999999999998,-19.669999999999998,-19.299999999999997,-18.987784430999998,-18.683519999999998,-24.134149999999998,-20.96,-18.49,-17.79,0.8599999999999994,-4.189999999999998,-11.799999999999999,-5.23,-6.59,-6.689999999999998,-13.459999999999999,3.4800000000000004,-30.7,-1.6199999999999974,-23.63,-19.667970973,-18.091929999999998,-13.3356,-18.47,-19.189999999999998,-1.5199999999999996,2.8000000000000007,-9.499999999999998,1.9000000000000021,-9.1,1.6000000000000014,-0.8000000000000007,13.3,19.3,-22.2,-18.799999999999997,-4.599999999999998,-18.64,-5.739999999999998,-32.42,-7.739999999999998,3.5500000000000007,-24.56,3.6000000000000014,-5.68,25.029999999999998,13.779999999999998,-36.879999999999995,-24.9,-37.7,-46.42,-5.149999999999999,16.430000000000003
