Date,price,rolling_12,rolling_18,rolling_24,rolling_30,rolling_36,rolling_42,rolling_48,rolling_54,rolling_60,diff%_rolling_12,diff%_rolling_18,diff%_rolling_24,diff%_rolling_30,diff%_rolling_36,diff%_rolling_42,diff%_rolling_48,diff%_rolling_54,diff%_rolling_60
1945-12-31,1.17,,,,,,,,,,,,,,,,,,
1946-12-31,1.62,1.395,,,,,,,,,0.1612903225806452,,,,,,,,
1947-12-31,2.57,1.92,1.7977777777777777,1.6574999999999998,,,,,,,0.3385416666666668,0.4295426452410383,0.5505279034690801,,,,,,
1948-12-31,2.57,2.57,2.3977777777777773,2.245,2.1066666666666665,1.9616666666666664,,,,,0.0,0.07182576459684906,0.14476614699331858,0.21993670886075956,0.3101104502973662,,,,
1949-12-31,2.57,2.57,2.5699999999999994,2.57,2.4666666666666663,2.353333333333333,2.2390476190476187,2.11375,,,0.0,1.7279735791831235e-16,0.0,0.04189189189189197,0.09206798866855508,0.1478094427903021,0.21584861028976954,,
1950-12-31,2.57,2.57,2.5699999999999994,2.57,2.5699999999999994,2.5699999999999994,2.4961904761904763,2.4075,2.3125925925925923,2.205,0.0,1.7279735791831235e-16,0.0,1.7279735791831235e-16,1.7279735791831235e-16,0.029568866844715838,0.06749740394600212,0.11130685458039724,0.165532879818594
1951-12-31,2.57,2.57,2.5699999999999994,2.57,2.5699999999999994,2.5699999999999994,2.5699999999999994,2.57,2.512592592592592,2.44,0.0,1.7279735791831235e-16,0.0,1.7279735791831235e-16,1.7279735791831235e-16,1.7279735791831235e-16,0.0,0.02284787735849073,0.05327868852459012
1952-12-31,2.57,2.57,2.5699999999999994,2.57,2.5699999999999994,2.5699999999999994,2.5699999999999994,2.57,2.5699999999999994,2.5699999999999994,0.0,1.7279735791831235e-16,0.0,1.7279735791831235e-16,1.7279735791831235e-16,1.7279735791831235e-16,0.0,1.7279735791831235e-16,1.7279735791831235e-16
1953-12-31,2.82,2.7366666666666664,2.6811111111111106,2.6533333333333333,2.6366666666666667,2.625555555555555,2.617619047619048,2.6116666666666664,2.6070370370370366,2.6033333333333326,0.03045066991473818,0.05180273518441772,0.06281407035175891,0.06953223767383053,0.07405840033855278,0.07731489903583763,0.07977026164645827,0.08168773973575805,0.0832266325224074
1954-12-31,2.82,2.82,2.8199999999999994,2.7783333333333333,2.7366666666666664,2.7088888888888887,2.689047619047619,2.6741666666666664,2.6625925925925933,2.6533333333333333,0.0,1.5747844320924207e-16,0.014997000599879969,0.03045066991473818,0.041017227235438915,0.048698423941916064,0.054534122779682205,0.05911809709278047,0.06281407035175891
1955-12-31,2.82,2.82,2.8199999999999994,2.82,2.82,2.7922222222222217,2.7604761904761896,2.7366666666666664,2.718148148148148,2.703333333333333,0.0,1.5747844320924207e-16,0.0,0.0,0.009948269001193916,0.02156287735035372,0.03045066991473818,0.03747104510151239,0.0431565967940814
1956-12-31,2.82,2.82,2.8199999999999994,2.82,2.82,2.8199999999999994,2.8199999999999994,2.7991666666666664,2.773703703703704,2.753333333333333,0.0,1.5747844320924207e-16,0.0,0.0,1.5747844320924207e-16,1.5747844320924207e-16,0.007442691277165877,0.01669114701562291,0.02421307506053277
1957-12-31,3.07,3.0641666666666665,2.9827777777777778,2.942083333333333,2.9176666666666664,2.901388888888889,2.889761904761904,2.8810416666666665,2.8742592592592584,2.8521666666666667,0.0019037258634758125,0.029241944496181737,0.043478260869565216,0.052210670627213566,0.05811393011010059,0.062371261431985035,0.06558681032612626,0.06810128213388322,0.07637468591129543
1958-12-31,3.0,3.0524999999999998,3.0544444444444436,3.0583333333333327,3.0106666666666664,2.9788888888888883,2.956190476190476,2.9391666666666665,2.9259259259259256,2.9153333333333333,-0.01719901719901698,-0.017824663514004975,-0.019073569482288617,-0.003542958370239055,0.0070869078701979015,0.014819587628866109,0.020697476609016226,0.025316455696202646,0.02904184770180654
1959-12-31,2.97,2.9725,2.993333333333333,3.0125,3.0216666666666665,3.0297222222222224,2.9997619047619053,2.9772916666666664,2.9598148148148145,2.9458333333333337,-0.0008410428931873852,-0.0077951002227170324,-0.014107883817427381,-0.01709873138444555,-0.01971211148803521,-0.009921422335105923,-0.002449093835280807,0.0034411562284929623,0.008203677510608128
1960-12-31,2.97,2.97,2.97,2.9712499999999995,2.984,2.998333333333333,3.006904761904761,3.0147916666666665,2.993148148148148,2.975833333333333,1.4952498648150255e-16,1.4952498648150255e-16,-0.0004206983592761657,-0.004691689008042825,-0.009449694274596849,-0.012273339140074096,-0.014857300808513472,-0.0077337128008412035,-0.001960235228227246
1961-12-31,2.97,2.97,2.97,2.97,2.97,2.970833333333333,2.9799999999999995,2.99125,2.998703703703704,3.0058333333333334,1.4952498648150255e-16,1.4952498648150255e-16,1.4952498648150255e-16,0.0,-0.00028050490883579904,-0.0033557046979863572,-0.007104053489343842,-0.00957203730006785,-0.011921264208483448
1962-12-31,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.970625,2.9777777777777783,2.9870000000000005,1.4952498648150255e-16,1.4952498648150255e-16,1.4952498648150255e-16,0.0,1.4952498648150255e-16,1.4952498648150255e-16,-0.00021039343572476352,-0.0026119402985074233,-0.0056913290927353005
1963-12-31,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.97,2.9705000000000004,1.4952498648150255e-16,1.4952498648150255e-16,1.4952498648150255e-16,0.0,1.4952498648150255e-16,1.4952498648150255e-16,0.0,0.0,-0.00016832183134158116
1964-12-31,2.92,2.940833333333333,2.950555555555556,2.9554166666666664,2.958333333333333,2.9602777777777787,2.9616666666666664,2.962708333333333,2.963518518518519,2.9641666666666677,-0.00708415981864541,-0.010355865185464094,-0.011983645848019095,-0.012957746478873164,-0.013606080510462634,-0.014068655036578457,-0.014415301314956832,-0.01468474661001077,-0.01490019679505224
1965-12-31,2.92,2.92,2.92,2.930416666666667,2.938333333333333,2.943611111111111,2.9473809523809518,2.9502083333333333,2.952407407407408,2.9541666666666666,0.0,0.0,-0.00355467083748055,-0.0062393647192286565,-0.008021138057940974,-0.009289926488407756,-0.01023938987359652,-0.010976604152292551,-0.011565585331452754
1966-12-31,2.97,2.940833333333333,2.9338888888888888,2.930416666666667,2.9283333333333337,2.9338888888888888,2.9390476190476185,2.942916666666666,2.9459259259259265,2.9483333333333333,0.009917823746103905,0.012308274947926636,0.013507749182425696,0.014228799089356804,0.012308274947926636,0.010531432274789485,0.009202888291094669,0.00817198893638423,0.007348784624081495
1967-12-31,3.07,3.035,3.0105555555555554,2.987916666666667,2.974333333333333,2.9652777777777777,2.958809523809524,2.9591666666666665,2.96037037037037,2.961333333333333,0.011532125205930707,0.01974534046872116,0.02747176126063294,0.03216407037991712,0.03531615925058546,0.03757946407016991,0.03745423824274852,0.03703240335293386,0.03669518235029267
1968-12-31,3.07,3.0699999999999994,3.0699999999999994,3.0525,3.034333333333333,3.015277777777777,3.0016666666666665,2.991458333333333,2.983518518518518,2.9813333333333336,1.446544657492061e-16,1.446544657492061e-16,0.00573300573300561,0.01175436669229912,0.01814831874712118,0.022765130483065124,0.02625531025837456,0.028986406802805655,0.029740608228980173
1969-12-31,3.35,3.3183333333333334,3.2355555555555555,3.1941666666666664,3.1693333333333333,3.141111111111111,3.1154761904761905,3.0910416666666665,3.072037037037037,3.056833333333333,0.009542943244600723,0.03537087912087916,0.048786851030524665,0.05700462768195207,0.06650159179342066,0.07527703477264044,0.0837770438767946,0.09048164446319858,0.09590534867237334
1970-12-31,3.56,3.368333333333333,3.3622222222222216,3.3433333333333333,3.2886666666666664,3.2522222222222217,3.226190476190476,3.197916666666666,3.1716666666666664,3.1465,0.056902523503216285,0.05882352941176479,0.0648055832502493,0.08250557470099341,0.09463614622480376,0.10346863468634698,0.11322475570032595,0.12243825538623238,0.13141585889083107
1971-12-31,3.56,3.56,3.5044444444444443,3.464166666666667,3.441333333333333,3.415555555555556,3.366190476190476,3.3291666666666666,3.30037037037037,3.2703333333333333,1.2474416007024232e-16,0.01585288522511104,0.02766418089968724,0.03448275862068973,0.04229017566688352,0.05757532890083473,0.06933667083854822,0.07866681629446766,0.08857404953623486
1972-12-31,3.56,3.56,3.56,3.56,3.526666666666667,3.4961111111111114,3.475238095238095,3.451666666666666,3.4092592592592585,3.3753333333333333,1.2474416007024232e-16,1.2474416007024232e-16,1.2474416007024232e-16,0.009451795841209795,0.018274273001747908,0.024390243902439167,0.03138580395944003,0.04421510048886485,0.05471064586213724
1973-12-31,10.11,4.418333333333333,4.132222222222223,3.9891666666666654,3.9033333333333338,3.846111111111111,3.781428571428571,3.7266666666666666,3.684814814814815,3.645,1.2881931346661637,1.4466254369454152,1.534363902235221,1.5900939368061482,1.6286292069911887,1.6735927465054778,1.7128801431127012,1.7436928334505977,1.7736625514403297
1974-12-31,11.16,10.46,8.732222222222221,7.439166666666665,6.663333333333332,6.146111111111112,5.776666666666667,5.499583333333333,5.265555555555556,5.073333333333333,0.06692160611854696,0.2780251940450438,0.5001680295732052,0.6748374187093548,0.815782337521468,0.9319099826889784,1.0292446397454358,1.1194344798480689,1.1997371879106442
1975-12-31,11.16,11.16,11.043333333333333,10.81,9.703333333333333,8.679444444444442,7.948095238095237,7.399583333333332,6.972962962962964,6.631666666666668,0.0,0.010564443102927906,0.03237742830712317,0.1501202335967022,0.28579658196249125,0.4041099994008747,0.5081930288867619,0.6004674138205768,0.6828348831364662
1976-12-31,13.9,12.873333333333333,12.302222222222225,12.016666666666666,11.775333333333332,11.497777777777774,10.609047619047619,9.727916666666667,9.042592592592593,8.494333333333334,0.07975142413257384,0.12987716763005774,0.15672676837725394,0.18043367491366147,0.20892926169308085,0.3102024327842363,0.42887737182507385,0.5371697726807291,0.6363850410077306
1977-12-31,14.85,14.374999999999998,14.120555555555557,13.624166666666666,13.131333333333336,12.802777777777774,12.518095238095238,12.217083333333333,11.445925925925925,10.657333333333334,0.03304347826086967,0.05165833890703075,0.08997492201357901,0.13088287556480674,0.15990453460620527,0.18628271454656112,0.21551106715323487,0.2974048666839245,0.39340673088952827
1978-12-31,14.85,14.849999999999998,14.85,14.612499999999995,14.412333333333333,14.032777777777778,13.622380952380949,13.314583333333333,13.036296296296294,12.743666666666664,1.1961998918520207e-16,0.0,0.016253207869974508,0.03036750930915665,0.05823666811829446,0.09011780333484824,0.11531841652323578,0.13912722313767828,0.16528471659124794
1979-12-31,32.5,23.875,20.866666666666667,19.3625,18.46,17.7,17.11595238095238,16.493333333333332,15.90074074074074,15.426666666666666,0.3612565445026178,0.5575079872204473,0.6785022595222727,0.7605633802816899,0.8361581920903955,0.8988134154993256,0.9704931285367828,1.043929935712289,1.106741573033708
1980-12-31,38.0,37.83333333333333,35.22222222222223,30.854166666666664,27.65333333333333,25.519444444444453,23.99523809523809,22.73333333333333,21.71981481481481,20.761333333333333,0.004405286343612461,0.07886435331230264,0.2316002700877786,0.3741562198649952,0.4890606291498856,0.5836475491168884,0.6715542521994137,0.7495545115826991,0.8303256052918888
1981-12-31,33.85,36.32083333333333,36.49166666666665,37.07708333333333,35.66166666666667,32.67638888888889,30.12976190476191,28.219791666666666,26.734259259259254,25.450833333333332,-0.0680279912814041,-0.07239095683946085,-0.08703714109119512,-0.050801514230966974,0.03591618140859448,0.123473863052669,0.19951275331290855,0.2661656218612546,0.33001538914901296
1982-12-31,31.19,33.41416666666666,34.04555555555555,34.8675,35.260666666666665,35.856111111111105,35.019523809523804,32.86083333333333,30.85962962962963,29.25866666666667,-0.06656358331047188,-0.08387454717535316,-0.105470710547071,-0.11544497173432144,-0.1301343332145456,-0.10935396581498738,-0.05084573834098336,0.010705584426495263,0.06600893182646743
1983-12-31,29.69,30.27,31.42,31.84208333333333,32.53533333333333,33.335,33.834761904761905,34.45958333333333,33.96407407407408,32.342666666666666,-0.01916088536504773,-0.0550604710375556,-0.0675861347011947,-0.08745364014507283,-0.10934453277336133,-0.1225001055550082,-0.1384109403528286,-0.1258410302825426,-0.08201756194088299
1984-12-31,25.641,28.93808333333333,29.414277777777773,29.60404166666667,30.42723333333333,30.87408333333333,31.507547619047607,32.23577083333333,32.746611111111115,33.35528333333333,-0.11393578819145485,-0.12828048358979108,-0.13386826404615368,-0.15730097051216188,-0.16949760991554405,-0.18619499333870865,-0.20457928142714132,-0.21698767811427472,-0.23127620461925824
1985-12-31,22.945,27.74808333333333,27.74838888888889,28.34308333333333,28.7478,28.985388888888888,29.661761904761907,30.09258333333333,30.67211111111111,31.33823333333333,-0.17309603966640338,-0.17310514524366782,-0.1904550492918613,-0.20185196780275366,-0.20839426760992605,-0.22644514261587384,-0.23751976539069705,-0.2519262884487899,-0.2678272653106376
