,Argentina,Australia,Austria,Belgium,Chile,Germany,Denmark,East Asia & Pacific,Spain,France,"Hong Kong SAR, China",Indonesia,India,Israel,Japan,Mexico,New Zealand,Sweden,Finland
2008-12-31,-30.17,-47.33,-67.74,-56.63,-38.09,-47.25,-48.96,-46.95,-47.31,-46.27,-49.94,-53.35,-64.42,-54.18,-28.06,-58.06,-41.15,-49.02,-42.0
2009-12-31,14.79,84.52,49.53,55.35,75.05,16.37,32.14,56.59,51.27,32.18,73.48,117.64,101.87,75.23,6.11,77.27,50.41,46.66,47.0
2010-12-31,39.71,15.26,10.48,3.45,48.14,10.63,31.18,19.57,-18.33,-1.78,17.62,67.67,24.9,20.6,15.78,30.83,29.06,22.56,23.0
2011-12-31,-31.81,-17.62,-32.34,-14.66,-20.92,-17.15,-17.7,-13.61,-12.0,-18.71,-16.72,8.25,-38.28,-31.05,-13.12,-8.77,-10.05,1.4,-17.0
2012-12-31,-21.4,15.75,24.35,30.61,15.92,25.48,24.2,14.3,-3.48,16.36,25.42,9.77,25.43,3.13,4.61,18.4,28.47,19.82,12.0
2013-12-31,55.03,-1.51,10.97,24.98,-15.38,30.26,28.0,10.36,12.21,27.26,9.49,-19.04,-9.85,25.61,30.59,4.67,0.18,24.76,23.0
2014-12-31,13.25,-5.66,-17.75,1.12,-12.03,-10.2,17.6,12.3,-11.07,-9.35,4.27,21.76,36.83,-1.37,-3.64,-1.76,-8.7,12.82,12.0
2015-12-31,-6.66,-7.89,-0.73,9.52,-18.39,-1.31,29.3,10.79,-20.72,0.12,-1.49,-16.31,-2.7,21.63,11.81,1.52,-16.24,-0.09,7.0
2016-12-31,13.3,6.86,25.91,-8.78,11.62,0.01,-7.9,-2.03,-10.5,3.39,0.26,20.52,3.33,-12.27,1.23,1.9,-12.48,7.66,6.0
2017-12-31,70.97,18.92,24.52,15.77,38.68,31.83,15.6,25.5,26.16,27.34,36.24,22.29,48.82,7.97,25.58,41.23,18.46,18.29,6.0
