Year,Inflation,Total US,US Large,USL Value,US Mid,USM Value,US Small,USS Value,US Dividend Appreciation,US REIT,US Consumer Staples,US Health Care,US Energy,Total International,International Developed,International Developed Value,International Developed Small,Emerging Markets,Emerging Small Cap,Frontier Markets,Global REIT,Sweden,Australia,South Africa,Gold,Commodities,Emerging Market Bonds,International Bonds,Corporate Bonds,US Bonds,TIPS,Intermediate Municipal Bonds,Long Term Treasuries,Intermediate Treasuries,Short Term Treasuries,Treasury Bills,US Large Cap Growth,US Mid Cap Growth,US Small Cap Growth,US Extended Market,US Microcap,Wellington,Wellesley,Windsor,Pacific,Europe,Precious Metals,US Corporate Bond,US Short Term Total Bond,US Junk Bonds,Long Term Municipal,Short Term Municipal,Vanguard Health Care,spdr_Energy,spdr_Materials,spdr_Industrials,spdr_Consumer Discretionary,spdr_Consumer Staples,spdr_Health Care,spdr_Financials,spdr_Information Technology,spdr_Telecom Services,spdr_Utilities,goldman_Energy,goldman_Materials,goldman_Industrials,goldman_Consumer Discretionary,goldman_Consumer Staples,goldman_Health Care,goldman_Financials,goldman_Information Technology,goldman_Telecom Services,goldman_Utilities,S
1982,1.038298,1.20607,1.209,1.197366,1.230539,1.292604,1.246507,1.282435,1.197366,1.212847,1.369,1.213,0.871,0.988525,0.990109,0.9894,0.996712,0.985747,0.985747,0.985747,1.156766,1.398066,0.8422000000000001,1.3777,1.1556,1.1073,1.201659,1.22565,1.3911,1.251997,0.922156,1.31065,1.4148020000000001,1.3516,1.2389459999999999,1.104006,1.2024,1.2024,1.2076,,1.2759,1.2455,1.233,1.217,0.935,1.0543,,1.3910529999999999,1.2511670000000001,1.274986,,,1.213,0.871,1.089,1.217,1.479,1.369,1.213,1.2389999999999999,1.5350000000000001,1.135,1.284,0.662,0.88,1.008,1.27,1.16,1.004,1.03,1.326,0.9259999999999999,1.075,
1983,1.03791,1.218051,1.213,1.280184,1.235529,1.324786,1.288423,1.383234,1.280184,1.302613,1.177,1.064,1.246,1.255238,1.24488,1.2532,1.356182,1.321639,1.321639,1.321639,1.29077,1.689013,1.6322,1.1377,0.8283,1.1539,1.120155,1.097768,1.092,1.080272,1.168663,1.064972,1.017816,1.0517,1.077209,1.087022,1.1575,1.2229,1.1985999999999999,,1.3588,1.2357,1.186,1.301,1.2609,1.2208,,1.091951,1.091063,1.150931,,,1.064,1.246,1.279,1.317,1.208,1.177,1.064,1.172,1.262,1.105,1.183,1.033,1.066,1.104,0.995,0.964,0.851,0.959,1.049,0.892,0.97,
1984,1.039487,1.043331,1.0621,1.098583,1.011976,1.026256,0.92515,1.020958,1.098583,1.205865,1.1471,1.0641,1.0801,1.080224,1.07803,1.027,1.112085,1.099372,1.099372,1.099372,1.1744539999999999,0.901378,1.0002,1.0877,0.8042,1.003,1.131508,1.135079,1.1654,1.141174,1.155689,1.095325,1.145636,1.1315,1.123666,1.097013,0.9878,0.9405,0.8403,,0.7988,1.107,1.1663999999999999,1.1947,1.1319,1.0104,,1.165416,1.142266,1.078586,,,1.0641,1.0801,0.9291,0.9921,1.0371,1.1471,1.0641,1.1061,0.9901,1.2051,1.2671000000000001,1.018,0.867,0.9299999999999999,0.975,1.085,1.002,1.044,0.9279999999999999,1.143,1.205,
1985,1.037987,1.319888,1.3123,1.312113,1.3173650000000001,1.318712,1.308383,1.307385,1.312113,1.187911,1.4293,1.4243000000000001,1.140082,1.569846,1.565591,1.6113,1.668825,1.6037080000000001,1.6037080000000001,1.6037080000000001,1.283395,1.282345,1.4162,1.4137,1.0574,1.0919,1.1589209999999999,1.1095,1.2397,1.178115,1.086826,1.173312,1.313001,1.2158,1.142422,1.0737,1.3261,1.3285,1.3074,1.3131,1.2488,1.2852999999999999,1.2741,1.2803,1.3903,1.7933,0.9464,1.239748,1.148975,1.2199010000000001,1.2053,1.0674,1.4524,1.1803,1.3033,1.2953000000000001,1.3153000000000001,1.4293,1.4243000000000001,1.4043,1.2323,1.3822999999999999,1.2763,0.868,0.991,0.983,1.003,1.117,1.112,1.092,0.92,1.07,0.964,
1986,1.010979,1.159145,1.1806,1.197366,1.179641,1.176647,1.05489,1.071856,1.197366,1.188909,1.3316,1.2966,1.127,1.684494,1.697472,1.6757,1.5895190000000001,1.6216490000000001,1.6216490000000001,1.6216490000000001,1.312805,1.5313400000000001,1.5062,1.5527000000000002,1.1868,1.0129,1.163055,1.1121,1.1644999999999999,1.129193,1.2195610000000001,1.16215,1.238462,1.1914,1.121595,1.06,1.1515,1.1737,1.0339,1.1233,0.9966,1.184,1.1834,1.2027,1.9331999999999998,1.4413,1.4988000000000001,1.164517,1.114178,1.168576,1.1938,1.0739,1.2142,1.1636,1.2556,1.1666,1.1985999999999999,1.3316,1.2966,1.1016,0.9306,1.2376,1.2556,0.983,1.075,0.986,1.018,1.151,1.116,0.921,0.75,1.057,1.075,
1987,1.044344,1.015375,1.0471,1.002794,1.0,0.976048,0.91018,0.927146,1.002794,0.9615,1.1151,1.0611,1.0613,1.265416,1.247877,1.3029,1.4015140000000001,1.372471,1.372471,1.372471,1.037479,0.935578,0.8992,0.9507,1.242,1.2285,1.119057,1.0909,1.0249,1.009784,1.081836,1.016386,0.970741,1.002,1.040299,1.0612,1.0507,1.0259,0.8932,0.9594,0.8445,1.0228,0.9808,1.0123,1.3949,1.0383,1.3873,1.024853,1.044597,1.026514,0.9886,1.0411,0.995,1.0821,1.2181,1.0211,1.0091,1.1151,1.0611,0.8281,1.1360999999999999,1.0461,0.9211,1.035,1.171,0.974,0.962,1.068,1.014,0.781,1.089,0.999,0.874,
1988,1.044194,1.178115,1.1622,1.229296,1.195609,1.243513,1.246507,1.292415,1.229296,1.132057,1.1942,1.1261999999999999,1.2137,1.300838,1.284844,1.2974,1.2547570000000001,1.3993820000000001,1.3993820000000001,1.3993820000000001,1.174252,1.549366,1.2062,1.1417,0.8459,1.2698,1.120308,1.0893,1.0915,1.0735,1.186627,1.100018,1.091519,1.0536,1.054012,1.0718,1.1106,1.1267,1.2016,1.1949,1.2015,1.1611,1.1360999999999999,1.287,1.3484,1.161,0.8581,1.091471,1.069506,1.135538,1.1224,1.0561,1.284,1.2102,1.0982,1.1202,1.2442,1.1942,1.1261999999999999,1.1692,0.9722,1.2092,1.1472,1.048,0.9359999999999999,0.958,1.082,1.032,0.964,1.007,0.81,1.047,0.985,
1989,1.046473,1.2869410000000001,1.3136,1.249252,1.260479,1.224551,1.159681,1.121756,1.249252,1.085179,1.4796,1.4256,1.4345,1.1866889999999999,1.107004,1.1440000000000001,1.302879,1.644573,1.644573,1.644573,1.110556,1.265977,1.1742,1.5507,0.9686,1.3725,1.099917,1.0394,1.1401,1.1364,1.058882,1.100032,1.179327,1.1334,1.109664,1.0887,1.356,1.3124,1.1996,1.241,1.0471,1.216,1.2093,1.1502,1.0241,1.2877,1.304,1.140062,1.114548,1.018906,1.1154,1.0708,1.3295,1.4006,1.2216,1.2656,1.2106,1.4796,1.4256,1.3306,0.9376,1.6126,1.3756,1.087,0.908,0.952,0.897,1.166,1.112,1.017,0.624,1.299,1.062,
1990,1.061063,0.938498,0.9668,0.916983,0.883234,0.837325,0.803393,0.780439,0.916983,0.8438060000000001,1.1758,1.1398,0.9863,0.785173,0.767309,0.7803,0.8175749999999999,0.89106,0.89106,0.89106,0.829148,0.7017960000000001,0.8422000000000001,1.0447,0.9665,1.2812000000000001,1.040406,1.057,1.0698,1.0865,1.05988,1.07198,1.057802,1.0941,1.096062,1.0794,0.9948,0.9471,0.8244,0.8594999999999999,0.6820999999999999,0.9719,1.0376,0.845,0.6554,0.9635,0.8014,1.069789,1.092299,0.941544,1.0682,1.0657,1.1679,1.0338,0.8818,0.9328,0.8578,1.1758,1.1398,0.7838,1.0208,0.8458,0.9928,1.067,0.915,0.966,0.891,1.209,1.173,0.817,1.054,0.879,1.026,
1991,1.030643,1.344848,1.3022,1.243265,1.412176,1.376248,1.458084,1.414172,1.243265,1.353481,1.4802,1.5182,1.0028,1.193474,1.123988,1.0985,1.054399,1.593741,1.593741,1.593741,1.313479,1.081045,1.2702,1.3047,0.9121,0.9317,1.1556739999999999,1.107,1.1842000000000001,1.1525,1.156687,1.121612,1.174301,1.1461000000000001,1.115708,1.0573,1.4089,1.4671,1.509,1.4185,1.4697,1.2365,1.2157,1.2855,1.1036,1.1211,1.0437,1.184243,1.130778,1.290083,1.135,1.072,1.4632,1.5542,1.2471999999999999,1.2922,1.2862,1.4802,1.5182,1.4962,1.1222,1.1381999999999999,1.2372,1.252,0.945,0.99,0.984,1.178,1.216,1.194,0.8200000000000001,0.8360000000000001,0.935,
1992,1.029007,1.096246,1.0742,1.135502,1.161677,1.214571,1.179641,1.288423,1.135502,1.143028,1.0662,0.8422000000000001,1.061,0.914787,0.881207,0.8844,0.791272,1.110336,1.110336,1.110336,1.085968,1.020779,0.9732,0.9737,0.9403,1.0365,1.067194,1.0624,1.0862,1.0714,1.072854,1.08855,1.074047,1.0756000000000001,1.065369,1.0352999999999999,1.0477,1.0848,1.0758,1.1247,1.3298,1.0793,1.0867,1.165,0.8183,0.9668,0.8059000000000001,1.086157,1.071949,1.142404,1.093,1.0471,0.9843,1.1272,1.1032,1.0942,1.1952,1.0662,0.8422000000000001,1.2322,1.0322,1.1622,1.0832,1.053,1.029,1.02,1.121,0.992,0.768,1.158,0.958,1.088,1.009,
1993,1.027484,1.104433,1.0989,1.1809020000000001,1.140719,1.153693,1.187,1.235529,1.1809020000000001,1.193896,0.9319,0.9399,1.2652,1.388795,1.3278050000000001,1.3935,1.338946,1.742251,1.742251,1.742251,1.242621,1.5616349999999999,1.4372,1.5407,1.1739,0.8702,1.196895,1.1363,1.1208,1.0968,1.154691,1.115527,1.16787,1.1143,1.0641,1.0286,1.0153,1.1098,1.1317,1.1449,1.2465,1.1352,1.1465,1.1937,1.3546,1.2913000000000001,1.9336,1.120796,1.070665,1.182402,1.1345,1.0382,1.1181,1.1259000000000001,1.1439,1.1949,1.2048999999999999,0.9319,0.9399,1.1099,1.1959,1.1479,1.1339000000000001,1.027,1.045,1.096,1.106,0.833,0.841,1.011,1.097,1.049,1.035,
1994,1.026749,0.9983,1.0118,0.9927,0.977046,0.977046,0.9949,0.983034,0.9927,1.029324,1.0568,1.1318,0.9837,1.055578,1.080028,1.1059,1.154827,0.923951,0.923951,0.923951,1.035887,1.060654,0.9372,1.2207,0.9759,1.0451,0.8067,0.9513,0.96,0.9734,1.02994,0.978783,0.929618,0.9567,0.9942,1.0381,1.0289,0.976,0.9741,0.9824,0.963,0.9951,0.9556,0.9985,1.1304,1.0188,0.9458,0.960003,0.999189,0.982874,0.9425,1.017,1.0954,1.0248,1.0518,0.9708,0.9278,1.0568,1.1318,0.9658,1.1968,0.9538,0.8838,1.013,1.04,0.959,0.916,1.045,1.12,0.954,1.185,0.942,0.872,
1995,1.025384,1.3578999999999999,1.3745,1.3694,1.341317,1.346307,1.2873999999999999,1.255489,1.3694,1.15001,1.3675,1.5845,1.2532,1.097027,1.114997,1.1082,1.022816,1.002292,1.002292,1.002292,1.1367639999999999,1.2015259999999999,1.2102,1.0817,1.0073,1.1944,1.2638,1.1712,1.2216,1.1818,1.005988,1.136447,1.300932,1.2044000000000001,1.1211,1.0549,1.3806,1.3373,1.3074,1.338,1.295,1.3292,1.2891,1.3014999999999999,1.0275,1.2227999999999999,0.9552,1.221603,1.127356,1.191529,1.1872,1.0592,1.4517,1.3025,1.1735,1.3965,1.2205,1.3675,1.5845,1.5365,1.3845,1.4104999999999999,1.3135,0.9279999999999999,0.7989999999999999,1.022,0.846,0.993,1.21,1.162,1.01,1.036,0.9390000000000001,
1996,1.033225,1.2096,1.2288000000000001,1.2186,1.187625,1.212176,1.1812,1.211577,1.2186,1.349491,1.2448000000000001,1.2208,1.34,1.075778,1.063043,1.084,1.040151,1.1583,1.1583,1.1583,1.281063,1.4215,1.1122,1.0877,0.9521,1.3292,1.3891,1.1188,1.0321,1.0358,1.038922,1.041965,0.987458,1.0192,1.0439,1.0509,1.2374,1.1869,1.1108,1.1764999999999999,1.1629,1.1619,1.0942,1.2636,0.9218,1.2126000000000001,0.9925,1.03212,1.047881,1.095444,1.0441,1.0369,1.2136,1.2568,1.1338,1.2478,1.1378,1.2448000000000001,1.2208,1.3618000000000001,1.4218,1.0068,1.0408,1.028,0.905,1.019,0.909,1.016,0.992,1.133,1.193,0.778,0.812,
1997,1.017024,1.3099,1.3319,1.2977,1.287425,1.368064,1.2459,1.315369,1.2977,1.18462,1.3669,1.4109,1.1489,0.990122,1.020082,1.0107,0.8555349999999999,0.8318,0.8318,0.8318,1.135995,1.103243,0.8788009999999999,0.9487,0.7836,0.8529,1.1261999999999999,1.1069,1.1016,1.0944,1.077844,1.070815,1.1390419999999999,1.0896,1.0639,1.0512,1.3634,1.2036,1.1267,1.2673,1.2154,1.2323,1.2019,1.2197,0.7433,1.2423,0.6108,1.101567,1.06946,1.119073,1.0929,1.0407,1.2857,1.2459,1.0779,1.2749,1.2939,1.3669,1.4109,1.4939,1.2789,1.4049,1.2479,0.914,0.746,0.943,0.962,1.035,1.079,1.162,0.947,1.073,0.916,
