,Inflation,Total US,US Large,USL Value,US Mid,USM Value,US Small,USS Value,US Dividend Appreciation,US REIT,US Consumer Staples,US Health Care,US Energy,Total International,International Developed,International Developed Value,International Developed Small,Emerging Markets,Emerging Small Cap,Frontier Markets,Global REIT,Sweden,Australia,South Africa,Gold,Commodities,Emerging Market Bonds,International Bonds,Corporate Bonds,US Bonds,TIPS,Intermediate Municipal Bonds,Long Term Treasuries,Intermediate Treasuries,Short Term Treasuries,Treasury Bills
1972,1.03406326034,1.1671325879,1.1880990415000001,1.14865917,1.07530307124,1.1133062737,1.08565326602,1.1076550731,1.14865917,1.07719928187,1.1880990415000001,1.1880990415000001,1.1880990415000001,1.3808122131,1.361774403,1.3581,1.636429461,1.497059703,1.497059703,1.497059703,1.1531025147,1.1406764092000001,1.3592,1.497059703,1.4838,1.4137,1.1287813858,1.08786157275,1.0321,1.0553115016,0.97405189621,1.0553115016,0.97549651213,1.0302,1.03122725661,1.03706664002
1973,1.08705882353,0.8176916933,0.8516373802,0.90160294664,0.7632244391,0.864237636,0.6758191165,0.7541604443,0.90160294664,0.8428086974,0.8516373802,0.8516373802,0.8516373802,0.8507782878,0.8502347887,0.8474,0.8599394241,0.8591647563,0.8591647563,0.8591647563,0.844801095,1.02872245249,0.7372,0.8591647563,1.7253,1.7365,0.99868859821,1.01419124731,1.0144,1.03234824281,0.96007984032,1.03234824281,1.00938123752,1.0358,1.04455444276,1.06803876511
1974,1.1233766234,0.7268370607,0.7338258786,0.7861818333,0.7359062381,0.800203759,0.7239279314,0.7868534435,0.7861818333,0.7839616996000001,0.7688258786,0.8168258786,0.7558258786000001,0.7631710237,0.7673094215,0.7653,0.7110729302000001,0.7445430081,0.7445430081,0.7445430081,0.7787640306,1.0104817247,0.7332000000000001,0.9857,1.6573,1.3848,1.00845518815,1.03777876371,0.9407,1.06829073482,1.0499001996,1.06829073482,1.04813114526,1.0439,1.06625432916,1.07902887401
1975,1.06936416185,1.384784345,1.3698083067,1.4056744372,1.4843823069,1.5677459019,1.5464994206,1.5302677366,1.4056744372,1.1899062437999999,1.3428083067,1.1028083067,1.2378083067,1.3641987627,1.3527824958,1.366,1.4930756202,1.4372570517,1.4372570517,1.4372570517,1.2334793735,1.3387139388,1.5412,0.8047,0.7501,0.8216,1.1423322679,1.1095628475,1.1662,1.08126996805,1.1616766467,1.08126996805,1.08115533196,1.0672,1.0815709971,1.05704865621
1976,1.04864864865,1.2649760383,1.2370207668,1.3322247896,1.3667022347,1.463702556,1.4552758050999999,1.5536965418,1.3322247896,1.4721723518999998,1.1270207668,1.01802076677,1.3490207668,1.02993414488,1.0240783295,1.0363,1.1104911826,1.06947074654,1.06947074654,1.06947074654,1.3616128001,1.04374458287,1.0312,0.8847,0.9566,0.8742,1.1029658281999999,1.1066875039,1.1926,1.115215655,0.99700598802,1.115215655,1.1686889539,1.1137,1.08617342648,1.05005495054
1977,1.06701030928,0.95646964856,0.92052715655,0.96574109921,1.01039884399,1.04828821544,1.1543149637,1.1578557603,0.96574109921,1.2208258528,0.95352715655,0.90352715655,0.97352715655,1.2270504889,1.1799380557,1.221,1.7343827837,1.5010465464,1.5010465464,1.5010465464,1.2223820118,0.8705520958,1.1272,1.1997,1.2233,1.0955,1.09350645104,1.04822421822,1.0309,1.02835463259,1.07784431138,1.02835463259,0.99748554838,1.0257,1.03716265855,1.05005495054
1978,1.09017713366,1.0732827476,1.059,1.06022191512,1.08612765301,1.08787935743,1.1727258035,1.1838342099,1.06022191512,1.1001396369,1.048,1.085,1.111,1.3545200559,1.3248076731,1.343,1.6491979675000001,1.530947872,1.530947872,1.530947872,1.1637347417,1.2089739288999999,1.2382,1.3657,1.3667,1.3063,1.1014991961,1.05378267652,1.0029,1.02036741214,1.09680638723,0.9546476,0.98362822914,1.0168,1.03633694227,1.07103606754
1979,1.1329394387,1.2280351438000001,1.18,1.2023548194,1.3223552894,1.2967802668,1.4281437126,1.3512974052,1.2023548194,1.3554757629999998,1.04,1.23,1.449,1.04240670525,1.04705764812,1.0346,0.98854239315,1.02262533639,1.02262533639,1.02262533639,1.2772084986,1.03250351255,1.3852,1.9377,2.3128,1.3282,1.05815980804,1.06210808267,0.9782,1.0642971246,1.09780439122,0.9842945,0.9926658661,1.0171,1.06214144881,1.1030072934
1980,1.1251629726,1.3248801917,1.319,1.2412692077,1.3223552894,1.1736427492,1.3832335329,1.2514970060000001,1.2412692077,1.2407739876,1.1480000000000001,1.307,1.739,1.2295948912,1.2248975922,1.1895,1.3496064561,1.2638293631,1.2638293631,1.2638293631,1.2379792135,1.2796379444000001,1.5182,1.4027,1.1228,1.1026,1.09912714744,1.08082690126,0.9964,1.0642971246,1.1516966068,0.8965041,0.96867538875,1.024,1.06883116847,1.1119992007
1981,1.08922363847,0.96146166134,0.948,1.01077629216,1.02195608782,1.09845974501,1.01796407186,1.1467065868,1.01077629216,1.0572511470200001,1.172,1.031,0.761,0.99620834165,0.98910980118,1.0569,0.99730995317,1.04255955347,1.04255955347,1.04255955347,1.04199044568,1.6293965232,0.8872,1.0017,0.6722999999999999,0.7642,1.08996103197,1.09522786292,1.0288,1.1062300319,1.05788423154,0.926014,1.00174212636,1.0436,1.1017408651,1.1459686282
